FID,the_geom,X_MIN,X_MAX,Y_MIN,Y_MAX,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
meses.37,"MULTIPOLYGON (((-63.67151638109944 -22.03053472699999, -63.62958711939944 -22.03053472699999, -63.62958711939944 -22.07253218149999, -63.67151638109944 -22.07253218149999, -63.67151638109944 -22.03053472699999)))",-63.67151638,-63.62958712,-22.07253218,-22.03053473,80.62992,158.18285,150.93756,176.06105,162.9567,167.59786,1017,186.20049,131.89237,105.57568,119.41194,155.08407
meses.38,"MULTIPOLYGON (((-63.62958711939944 -22.03053472699999, -63.58765785769944 -22.03053472699999, -63.58765785769944 -22.07253218149999, -63.62958711939944 -22.07253218149999, -63.62958711939944 -22.03053472699999)))",-63.62958712,-63.58765786,-22.07253218,-22.03053473,81.08796,159.34479,151.33177,176.49336,163.77019,168.24388,1018,186.47218,131.98185,105.68495,120.56144,156.07914
meses.39,"MULTIPOLYGON (((-63.58765785769944 -22.03053472699999, -63.54572859599944 -22.03053472699999, -63.54572859599944 -22.07253218149999, -63.58765785769944 -22.07253218149999, -63.58765785769944 -22.03053472699999)))",-63.58765786,-63.5457286,-22.07253218,-22.03053473,81.30782,159.43092,151.49737,176.85577,163.7291,168.62349,1019,186.78387,131.94244,105.54835,120.92492,156.16726
meses.40,"MULTIPOLYGON (((-63.54572859599944 -22.03053472699999, -63.503799334299444 -22.03053472699999, -63.503799334299444 -22.07253218149999, -63.54572859599944 -22.07253218149999, -63.54572859599944 -22.03053472699999)))",-63.5457286,-63.50379933,-22.07253218,-22.03053473,81.56169,160.47946,152.02906,177.66507,164.54153,169.53823,1020,186.70673,131.92026,105.62071,121.08492,155.6898
meses.41,"MULTIPOLYGON (((-63.503799334299444 -22.03053472699999, -63.461870072599446 -22.03053472699999, -63.461870072599446 -22.07253218149999, -63.503799334299444 -22.07253218149999, -63.503799334299444 -22.03053472699999)))",-63.50379933,-63.46187007,-22.07253218,-22.03053473,81.56437,160.5497,152.0704,177.81114,164.27293,169.54721,1021,186.49049,131.90511,105.51886,121.04064,155.15054
meses.42,"MULTIPOLYGON (((-63.461870072599446 -22.03053472699999, -63.41994081089945 -22.03053472699999, -63.41994081089945 -22.07253218149999, -63.461870072599446 -22.07253218149999, -63.461870072599446 -22.03053472699999)))",-63.46187007,-63.41994081,-22.07253218,-22.03053473,81.94718,161.17606,152.82908,178.66115,164.74655,170.52326,1022,187.502,132.34957,105.79362,121.24192,155.05474
meses.43,"MULTIPOLYGON (((-63.41994081089945 -22.03053472699999, -63.37801154919945 -22.03053472699999, -63.37801154919945 -22.07253218149999, -63.41994081089945 -22.07253218149999, -63.41994081089945 -22.03053472699999)))",-63.41994081,-63.37801155,-22.07253218,-22.03053473,82.00481,161.34535,153.02304,178.73477,164.71353,170.58027,1023,187.69865,132.43611,105.88315,121.096,155.1355
meses.44,"MULTIPOLYGON (((-63.37801154919945 -22.03053472699999, -63.33608228749945 -22.03053472699999, -63.33608228749945 -22.07253218149999, -63.37801154919945 -22.07253218149999, -63.37801154919945 -22.03053472699999)))",-63.37801155,-63.33608229,-22.07253218,-22.03053473,81.91462,161.5802,153.1299,178.37898,164.76535,170.90557,1024,187.86061,132.48664,105.93036,120.96905,154.88491
meses.45,"MULTIPOLYGON (((-63.33608228749945 -22.03053472699999, -63.29415302579945 -22.03053472699999, -63.29415302579945 -22.07253218149999, -63.33608228749945 -22.07253218149999, -63.33608228749945 -22.03053472699999)))",-63.33608229,-63.29415303,-22.07253218,-22.03053473,81.54539,161.05023,153.1042,178.5361,164.48207,170.41624,1025,188.16826,131.99439,105.69914,121.28014,154.95424
meses.46,"MULTIPOLYGON (((-63.29415302579945 -22.03053472699999, -63.252223764099455 -22.03053472699999, -63.252223764099455 -22.07253218149999, -63.29415302579945 -22.07253218149999, -63.29415302579945 -22.03053472699999)))",-63.29415303,-63.25222376,-22.07253218,-22.03053473,81.27992,161.12564,152.97473,178.32327,164.5876,170.14829,1026,188.34702,131.85454,105.58471,121.29519,155.09161
meses.47,"MULTIPOLYGON (((-63.252223764099455 -22.03053472699999, -63.21029450239946 -22.03053472699999, -63.21029450239946 -22.07253218149999, -63.252223764099455 -22.07253218149999, -63.252223764099455 -22.03053472699999)))",-63.25222376,-63.2102945,-22.07253218,-22.03053473,80.28324,160.39731,152.29876,177.34213,164.07489,168.02868,1027,187.45691,130.88898,104.76712,121.35495,155.46301
meses.48,"MULTIPOLYGON (((-63.21029450239946 -22.03053472699999, -63.16836524069946 -22.03053472699999, -63.16836524069946 -22.07253218149999, -63.21029450239946 -22.07253218149999, -63.21029450239946 -22.03053472699999)))",-63.2102945,-63.16836524,-22.07253218,-22.03053473,80.05836,160.51785,152.19939,177.0704,164.15741,168.01099,1028,187.29657,130.75544,104.67178,121.64016,155.33719
meses.49,"MULTIPOLYGON (((-63.16836524069946 -22.03053472699999, -63.12643597899946 -22.03053472699999, -63.12643597899946 -22.07253218149999, -63.16836524069946 -22.07253218149999, -63.16836524069946 -22.03053472699999)))",-63.16836524,-63.12643598,-22.07253218,-22.03053473,79.73862,160.57109,152.17669,177.26466,164.51044,167.87139,1029,187.60612,130.65009,104.50441,122.07152,155.87385
meses.50,"MULTIPOLYGON (((-63.12643597899946 -22.03053472699999, -63.08450671729946 -22.03053472699999, -63.08450671729946 -22.07253218149999, -63.12643597899946 -22.07253218149999, -63.12643597899946 -22.03053472699999)))",-63.12643598,-63.08450672,-22.07253218,-22.03053473,79.41141,160.39201,152.03622,177.15118,164.53423,167.86896,1030,187.50676,130.45956,104.10692,121.87276,156.37501
